Event Name,Event Date,Event Location,Event Type,Event Region,Location Longitude,Location Latitude,Temperature,Min Temperature,Max Temperature,Humidity,Description,Weather Description
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Festal: Seattle Iranian Festival,6/22/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. Minnesota United FC,6/22/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,-122.3285576,47.6145597,4.7,2.79,7.56,90,light rain,light rain
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,-122.05701598333333,47.6348885,4.4,2.3,6.98,86,overcast clouds,overcast clouds
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,-122.35038850536958,47.62397705,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Connecticut Sun,6/23/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Indiana Fever,6/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Company,6/23/2024 through 6/28/2024,The Paramount Theatre,Music,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Seattle Storm vs. Dallas Wings,6/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Sounders FC vs. Chicago Fire FC,6/29/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,-122.31173279895636,47.6565246,4.71,2.97,7.69,91,overcast clouds,overcast clouds
Spring Awakening,6/7/2024 through 6/30/2024,The 5th Avenue Theatre,Theatre,Downtown,-75.1300389,39.7329068,3.03,1.81,3.96,61,broken clouds,broken clouds
Girl From The North Country,6/25/2024 through 6/30/2024,The Paramount Theatre,Music,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Seattle Storm vs Dallas Wings,7/1/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Chicago Sky,7/5/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. New England Revolution,7/6/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,-122.31413540328062,47.63029565,4.29,2.44,7.21,90,overcast clouds,overcast clouds
Seattle Storm vs.Chicago Sky,7/7/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Las Vegas Aces,7/10/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Minnesota Lynx,7/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Festal: Polish Festival Seattle,7/13/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Kenny Chesney with Zac Brown Band,7/13/2024,Lumen Field,Music,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seattle Storm vs. Atlanta Dream,7/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. St. Louis SC,7/17/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seattle Sounders FC vs. Los Angeles FC,7/20/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024,National Nordic Museum,Museums,Fremont / Ballard,-122.39177949359151,47.6683615,4.85,3.25,7.64,92,light rain,light rain
Clue,7/9/2024 through 7/21/2024,The 5th Avenue Theatre,Theatre,Downtown,-75.1300389,39.7329068,3.03,1.81,3.96,61,broken clouds,broken clouds
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024,Wing Luke Museum,Museums,International District,-122.3228705,47.5982461,4.87,2.91,7.68,89,overcast clouds,overcast clouds
Festal: Seattle Arab Festival,7/27/2024 through 7/28/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Olivia Rodrigo,8/6/2024 through 8/7/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Festal: Tibet Fest,8/10/2024 through 8/11/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Festal: BrasilFest,8/18/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Festal: Festival Sundiata presents Black Arts Fest,8/23/2024 through 8/24/2024,"Seattle, WA",Festivals & Special Events,Downtown,-122.330062,47.6038321,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seattle Storm vs. Washington Mystics,8/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Atlanta Dream,8/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. New York Liberty,8/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,-122.34822527405619,47.621493099999995,4.87,3.05,7.82,89,light rain,light rain
Metallica,8/30/2024 through 9/1/2024,Lumen Field,Music,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Poke in the Eye: Art of the West Coast Counterculture,6/21/2024 through 9/2/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
"Chicago and Earth, Wind & Fire,",9/3/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Phoenix Mercury,9/7/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Sum 41,9/7/2024,WaMu Theater,Music,Pioneer Square,-122.3329041,47.593154,5.22,3.25,8.02,89,overcast clouds,overcast clouds
Festal: Live Aloha Hawaiian Cultural Festival,9/8/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Sound Check! The Music We Make,Now through 9/14/2024,Wing Luke Museum,Museums,International District,-122.3228705,47.5982461,4.87,2.91,7.68,89,overcast clouds,overcast clouds
2024 Apple Cup,9/14/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Festal: Sea Mar Fiestas Patrias,9/14/2024 through 9/15/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. Sporting Kansas City,9/15/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seattle Storm vs. Los Angeles Sparks,9/15/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Storm vs. Las Vegas Aces,9/17/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. San Jose Earthquakes,9/18/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Seatle Sounders FC vs. Houston Dynamo,9/28/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Festal: The Italian Festival,9/28/2024 through 9/29/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Raul de Nieves,Now through 9/30/2024,Henry Art Gallery,Museums,University District,-122.31173279895636,47.6565246,4.71,2.97,7.69,91,overcast clouds,overcast clouds
Festal: Croatiafest,10/6/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Festal: Turkfest,10/12/2024 through 10/13/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. Portland Timbers,10/19/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Sebastian Maniscalco,10/25/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Frye Salon,Now through 10/27/2024,Frye Art Museum,Museums,Capitol Hill / Central District,-122.32405377084555,47.60719095,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Festal: Dia de Muertos Festival Seattle,10/26/2024 through 10/27/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Festal: Diwali – Lights of India,11/2/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Festal: Seattle Hmong New Year,11/9/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,-122.34974101387942,47.621255,4.87,3.05,7.82,89,light rain,light rain
Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,4.42,2.73,7.16,92,light rain,light rain
Black History Month Keynote with Dr. Doretha Williams,2/15/2024,Northwest African American Museum,Museums,Capitol Hill / Central District,-122.30193399673912,47.589155399999996,5.07,3.05,7.82,89,overcast clouds,overcast clouds
Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
My Dinner with SAM: Aaron Verzosa,2/15/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,-122.31413540328062,47.63029565,4.29,2.44,7.21,90,overcast clouds,overcast clouds
Olympia Music History Project,2/15/2024,Washington State History Museum,Museums,South,-122.43608807502436,47.2447212,6.49,3.75,8.54,83,light intensity drizzle,light intensity drizzle
Radiolab,2/15/2024,Town Hall Seattle,Theatre,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Left on Tenth,2/16/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Marlon Wayans,2/16/2024,The Moore Theatre,Theatre,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Riley Mulherkar: Album Release Show,2/16/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Yeah!,2/16/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Circa:Humans 2.0,Now through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District,,,Not found,Not found,Not found,Not found,Not found,
Big Business,2/17/2024,Tractor Tavern,Music,Fremont / Ballard,-122.38280295082915,47.6657081,4.83,3.2,7.83,91,light rain,light rain
Carl Christensen and The Lake Flora Band,2/17/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
David Wax Museum,2/17/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,-122.349792,47.6592234,4.47,2.79,7.42,90,light rain,light rain
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
lespecial,2/17/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Saturday Family Concert: Lady A,2/17/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,-122.24000381780328,47.38765995,6.39,3.21,8.28,81,overcast clouds,overcast clouds
Victor Andy Castillo,2/17/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
A Case for the Existence of God,Now through 2/18/2024,ACT Theatre,Theatre,Downtown,-122.3323262,47.6108495,4.7,2.79,7.56,90,light rain,light rain
Northwest Flower & Garden Festival,Now through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,-122.33156275066185,47.61175385,4.7,2.79,7.56,90,light rain,light rain
The Princess Bride in Concert with the Seattle Symphony,Now through 2/18/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Mindi Abair Wine and Jazz Tour 2024,Now through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,-122.339691,47.6148163,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle RV Show,Now through 2/18/2024,Lumen Field,Festivals & Special Events,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Dr. Joy Buolamwini,2/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
La Nef: Red Sky at Night,2/18/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Love Beyond Border,2/18/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,-122.39177949359151,47.6683615,4.85,3.25,7.64,92,light rain,light rain
Skyler Floe Sextet,2/18/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Steamboat – Nokosee Fields Trio,2/18/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Community is a Radical Act of Love,2/19/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Black and Boujee,Now through 2/20/2024,Bainbridge Island Museum of Art,Museums,West,-122.51453295865404,47.6251322,4.7,3.14,7.77,91,overcast clouds,overcast clouds
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,-122.51453295865404,47.6251322,4.7,3.14,7.77,91,overcast clouds,overcast clouds
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,-122.339691,47.6148163,4.98,3.07,7.84,89,overcast clouds,overcast clouds
A I M by Kyle Abraham,2/21/2024,The Moore Theatre,Dance,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Bailen,2/22/2024,The Crocodile,Music,Downtown,-122.3490734,47.6146474,4.93,3.08,7.84,89,overcast clouds,overcast clouds
Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Jack Parker,2/22/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Northwest Blues Stars,2/22/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,4.42,2.73,7.16,92,light rain,light rain
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown,-78.9699948,-5.2464353,18.74,18.74,18.74,82,overcast clouds,overcast clouds
Lisa Koch Big Ass Birthday Bash,2/23/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,26.079138268508792,44.43358325,7.46,5.62,9.42,67,clear sky,clear sky
Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Wreckno,2/23/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,-122.31173279895636,47.6565246,4.71,2.97,7.69,91,overcast clouds,overcast clouds
The Lower Depths,Now through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,-122.3217419,47.61467195,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Bassekou Kouyate and Vieux Farka Toure,2/24/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Dana Gould and Bobcat Goldthwait,2/24/2024,The Triple Door,Theatre,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Knoll,2/24/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
The Highsteppers Classic Soul Revue,2/24/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Tides of Times: A Conversation on Maritime Asia in Art and Trade,2/24/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Born With Teeth,Now through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,,,Not found,Not found,Not found,Not found,Not found,
SAM Gallery Presents: Enter the Forest,Now through 2/25/2024,SAM Gallery,Visual Arts & Galleries,Downtown,-122.3352406,47.5999358,5.17,3.23,8,89,overcast clouds,overcast clouds
"Once More, Just For You",Now through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,-122.3398325,47.6821341,4.54,2.92,7.3,92,light rain,light rain
Seattle Home & Garden Show,2/22/2024 through 2/25/2024,Lumen Field,Festivals & Special Events,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,-122.20116,47.618258,5.03,2.98,7.75,88,overcast clouds,overcast clouds
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,4.42,2.73,7.16,92,light rain,light rain
Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West,-122.51453295865404,47.6251322,4.7,3.14,7.77,91,overcast clouds,overcast clouds
Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Kelsy Karter and The Heroines,2/27/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Ron Pope,2/27/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
He Films The Clouds,2/28/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Tommy Castro and The Painkillers,2/28/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,-122.35020712496446,47.6205296,4.87,3.05,7.82,89,light rain,light rain
